anio,variable_madre_id,documento_origen,pagina,seccion,evidencia,estado,confianza
2022,tipo_opinion,Informe de Audtoria_2022.pdf,1,Opinión,"Informe de Auditoría 2022, pág 1, sección Opinión",ACEPTADO,ALTA
2022,salvedades,Informe de Audtoria_2022.pdf,1,Opinión,Confirmado por diseño: opinión sin salvedades,ACEPTADO,ALTA
2022,incertidumbre,Informe de Audtoria_2022.pdf,2,Responsabilidades del auditor,"Informe de Auditoría 2022, pág 2, Responsabilidades del auditor en relación con el negocio en marcha",ACEPTADO,ALTA
2022,proveedores,Estados-Financieros2022.pdf,1,Estado de Situación Financiera,"Estado de Situación Financiera 2022, pág 1, Nota 15",ACEPTADO,ALTA
2022,partes_relacionadas,Informe de Gestion_2022.pdf,109,35. TRANSACCIONES CON PARTES RELACIONADAS,"Informe de Gestión 2022, pág 109, Nota 35; falta desglose total consolidado",DUDOSO,BAJA
2023,tipo_opinion,Informe de Audtoria_2023.pdf,1,Opinión,"Informe de Auditoría 2023, pág 15, Fundamento de la conclusión con salvedad",ACEPTADO,ALTA
2023,salvedades,Informe de Audtoria_2023.pdf,15,Fundamento de la conclusión con salvedad,"Informe de Auditoría 2023, pág 15; requiere análisis de impacto en estados",ACEPTADO,ALTA
2023,incertidumbre,Informe de Audtoria_2023.pdf,1,Asuntos claves de la auditoría,"Informe de Auditoría 2023, pág 1-3",ACEPTADO,ALTA
2023,proveedores,Estados Financieros_2023.pdf,1,Estado de Situación Financiera,"Estado de Situación Financiera 2023, pág 1",ACEPTADO,ALTA
2023,partes_relacionadas,Informe de Gestion_2023.pdf,105,35. TRANSACCIONES CON PARTES RELACIONADAS,"Informe de Gestión 2023, pág 105, Nota 35; falta desglose total consolidado",DUDOSO,BAJA
2024,tipo_opinion,Informe de Audtoria_2024.pdf,1,Opinión,"Informe de Auditoría 2024, pág 13, Conclusión con salvedad",ACEPTADO,ALTA
2024,salvedades,Informe de Audtoria_2024.pdf,13,Conclusión con salvedad,"Informe de Auditoría 2024, pág 13; requiere análisis de impacto en estados",ACEPTADO,ALTA
2024,incertidumbre,Informe de Audtoria_2024.pdf,1,Asuntos claves de la auditoría,"Informe de Auditoría 2024, pág 1-3",ACEPTADO,ALTA
2024,proveedores,Estados Financieros_2024.pdf,1,Estado de Situación Financiera,"Estado de Situación Financiera 2024, pág 1",ACEPTADO,ALTA
2024,partes_relacionadas,Informe de Gestion_2024.pdf,106,37. TRANSACCIONES CON PARTES RELACIONADAS,"Informe de Gestión 2024, pág 106, Nota 37; falta desglose total consolidado",DUDOSO,BAJA
2025,tipo_opinion,Informe de Audtoria_2025.pdf,1,Opinión,"Informe de Auditoría 2025, pág 12, Conclusión con salvedad",ACEPTADO,ALTA
2025,salvedades,Informe de Audtoria_2025.pdf,12,Conclusión con salvedad,"Informe de Auditoría 2025, pág 12; requiere análisis de impacto en estados",ACEPTADO,ALTA
2025,incertidumbre,Informe de Audtoria_2025.pdf,1,Asuntos claves de la auditoría,"Informe de Auditoría 2025, pág 1-3",ACEPTADO,ALTA
2025,proveedores,Estados Financieros_2025.pdf,1,Estado de Situación Financiera,"Estado de Situación Financiera 2025, pág 1",ACEPTADO,ALTA
2025,partes_relacionadas,Informe de Gestion_2025.pdf,145,36. TRANSACCIONES CON PARTES RELACIONADAS,"Informe de Gestión 2025, pág 145, Nota 36; falta desglose total consolidado",DUDOSO,BAJA
